bucketized_user_age,movie_genres,movie_id,movie_title,raw_user_age,timestamp,user_gender,user_id,user_occupation_label,user_occupation_text,user_rating,user_zip_code
45.0,7,510,One Flew Over the Cuckoo's Nest,46.0,879024327,True,138,4,doctor,4.0,53211
50.0,5,680,Pulp Fiction,50.0,883326919,True,60,4,healthcare,4.0,06472
50.0,10,4233,Scream 2,55.0,891409199,True,197,18,technician,3.0,75094
18.0,7,1640,Crash,19.0,876346551,False,601,1,artist,4.0,99687
18.0,2,812,Aladdin,19.0,882064434,True,710,17,student,3.0,92020
25.0,0,319,True Romance,34.0,875135363,True,833,21,writer,2.0,90019
25.0,0,563,Starship Troopers,32.0,884801053,True,940,2,administrator,2.0,02215
45.0,1,10153,Sphere,46.0,891636399,True,611,10,librarian,1.0,77008
18.0,7,26748,Lone Star,21.0,880913800,True,276,17,student,5.0,95064
25.0,4,1624,Liar Liar,34.0,887667681,True,510,11,other,3.0,98038
18.0,4,137,Groundhog Day,19.0,884922272,True,246,17,student,3.0,28734
50.0,5,769,GoodFellas,55.0,891439439,True,91,14,marketing,4.0,01913
25.0,5,680,Pulp Fiction,25.0,876869445,False,372,17,student,4.0,66046
35.0,7,9504,Glengarry Glen Ross,38.0,879448599,True,615,0,educator,3.0,27705
35.0,2,408,Snow White and the Seven Dwarfs,42.0,888737277,True,195,15,scientist,3.0,93555
25.0,5,2118,L.A. Confidential,30.0,892685224,True,676,12,programmer,5.0,32712
35.0,7,26748,Lone Star,39.0,875728913,True,634,18,engineer,3.0,T8H1N
25.0,7,9294,Phenomenon,27.0,889334373,False,505,11,other,3.0,20657
18.0,4,9434,Grosse Pointe Blank,24.0,888904985,True,293,21,writer,3.0,60804
25.0,7,3083,Mr. Smith Goes to Washington,32.0,882347699,True,350,17,student,5.0,97301
25.0,0,9770,Mad City,29.0,883790609,False,404,12,programmer,1.0,55108
25.0,0,280,Terminator 2: Judgment Day,32.0,881957250,True,28,21,writer,5.0,55369
25.0,7,2255,Chasing Amy,28.0,885943818,True,428,17,student,4.0,55414
35.0,4,9434,Grosse Pointe Blank,44.0,879535752,False,733,11,other,3.0,60630
25.0,7,4584,Sense and Sensibility,29.0,891216526,False,354,10,librarian,4.0,48197
35.0,5,819,Sleepers,39.0,879875278,True,486,0,educator,3.0,93101
35.0,15,68,Brazil,37.0,892550170,True,669,11,other,4.0,20009
45.0,4,712,Four Weddings and a Funeral,45.0,879618849,False,535,0,educator,4.0,80302
25.0,0,348,Alien,32.0,879975586,True,560,17,student,5.0,10003
25.0,0,12123,Chain Reaction,29.0,876348901,True,407,18,engineer,2.0,03261
25.0,7,9294,Phenomenon,29.0,880564534,True,109,11,other,5.0,55423
35.0,0,2320,Executive Decision,39.0,891445354,True,643,15,scientist,3.0,55122
56.0,4,712,Four Weddings and a Funeral,69.0,891286256,True,585,10,librarian,5.0,98501
25.0,0,11517,Money Train,29.0,878184087,True,222,12,programmer,3.0,27502
35.0,7,595,To Kill a Mockingbird,35.0,876546920,False,330,0,educator,5.0,33884
45.0,7,2054,Mr. Holland's Opus,49.0,891386369,True,26,18,engineer,4.0,21044
45.0,7,2255,Chasing Amy,47.0,875935609,True,113,6,executive,4.0,95032
25.0,0,642,Butch Cassidy and the Sundance Kid,28.0,878761717,True,684,17,student,3.0,55414
25.0,14,27322,Love Jones,30.0,884326545,True,783,14,marketing,4.0,77081
35.0,7,28,Apocalypse Now,38.0,879521657,True,194,2,administrator,3.0,02154
18.0,7,103,Taxi Driver,20.0,875027355,True,76,17,student,5.0,02215
18.0,7,10684,Courage Under Fire,22.0,875502042,True,943,17,student,5.0,77841
25.0,7,26748,Lone Star,26.0,889492390,True,663,11,other,3.0,19341
18.0,7,55306,Ulee's Gold,20.0,879538275,True,139,17,student,5.0,08904
18.0,0,199,Star Trek: First Contact,24.0,884132027,True,435,18,engineer,3.0,60007
25.0,4,3049,Ace Ventura: Pet Detective,27.0,880952837,False,417,11,other,4.0,48103
35.0,7,8984,Disclosure,40.0,880475783,True,290,18,engineer,3.0,93550
18.0,7,8963,Crimson Tide,19.0,879467361,True,303,17,student,3.0,14853
50.0,0,1701,Con Air,53.0,888104322,True,144,12,programmer,3.0,20910
25.0,4,3034,Young Frankenstein,31.0,890181185,True,653,6,executive,3.0,55105
18.0,7,1770,Michael Collins,20.0,879538169,True,139,17,student,5.0,08904
18.0,2,756,Fantasia,22.0,877388183,True,844,18,engineer,5.0,95662
25.0,4,9304,Multiplicity,26.0,877325726,False,708,8,homemaker,2.0,96349
18.0,16,38153,Shadow Conspiracy,23.0,883215902,True,255,5,entertainment,1.0,07029
18.0,4,9614,Happy Gilmore,23.0,877756890,True,336,14,salesman,3.0,42101
50.0,7,11202,Patton,53.0,877888812,True,10,9,lawyer,5.0,90703
18.0,7,549,Basquiat,23.0,885809781,True,561,18,engineer,3.0,60005
18.0,7,1024,Heavenly Creatures,20.0,876031656,True,886,17,student,3.0,61820
50.0,7,2255,Chasing Amy,52.0,892388935,False,204,10,librarian,3.0,10960
25.0,0,11228,Daylight,32.0,884120388,True,899,11,other,2.0,55116
25.0,0,329,Jurassic Park,31.0,888193336,True,871,6,executive,3.0,44648
18.0,0,199,Star Trek: First Contact,20.0,889399171,True,677,11,other,4.0,99835
35.0,0,11,Star Wars,40.0,880473582,True,290,18,engineer,5.0,93550
25.0,4,11561,Sleeper,33.0,890687326,True,41,18,engineer,4.0,80525
50.0,7,1770,Michael Collins,50.0,880132462,True,158,0,educator,4.0,27606
50.0,9,78,Blade Runner,51.0,885848518,True,271,18,engineer,3.0,22932
25.0,7,29461,Soul Food,26.0,892718919,False,708,8,homemaker,3.0,96349
18.0,7,3595,Ransom,19.0,884748800,True,320,17,student,4.0,24060
35.0,0,157,Star Trek III: The Search for Spock,43.0,876407340,True,343,18,engineer,4.0,30093
1.0,0,75,Mars Attacks!,17.0,876190182,True,761,17,student,3.0,97302
35.0,19,288,High Noon,41.0,891298728,True,263,12,programmer,5.0,55346
1.0,10,4233,Scream 2,15.0,891309929,False,618,17,student,3.0,44212
35.0,4,3078,It Happened One Night,39.0,885852008,True,25,18,engineer,4.0,55107
35.0,7,686,Contact,42.0,885598932,True,499,12,programmer,2.0,75006
18.0,7,4995,Boogie Nights,21.0,883352494,True,589,9,lawyer,1.0,90034
25.0,0,2661,Batman,27.0,881694886,False,805,11,other,4.0,20009
25.0,7,2255,Chasing Amy,30.0,884220163,False,920,1,artist,3.0,90008
25.0,7,686,Contact,28.0,893097024,True,247,18,engineer,5.0,20770
18.0,7,687,Dead Man Walking,19.0,874805804,True,291,17,student,5.0,44106
25.0,7,279,Amadeus,27.0,891636079,True,625,12,programmer,3.0,20723
25.0,0,568,Apollo 13,26.0,880659392,True,771,17,student,5.0,15232
35.0,19,335,Once Upon a Time in the West,44.0,880139180,True,666,2,administrator,3.0,61820
35.0,7,11306,Extreme Measures,44.0,887503290,True,699,11,other,2.0,96754
35.0,7,10858,Nixon,44.0,879535129,False,733,11,other,2.0,60630
35.0,2,408,Snow White and the Seven Dwarfs,43.0,875484763,False,693,4,healthcare,3.0,85210
18.0,10,4232,Scream,18.0,888979236,False,787,17,student,1.0,98620
25.0,0,9331,Clear and Present Danger,28.0,876015688,True,661,12,programmer,4.0,98121
